web_name,price,position,team,avg_points_per_game,expected_points,xG,xA,fixture,image_url
Milner,5.0,MID,BHA,1.7,0.0,0.16,0.15,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p15157.png
Minteh,5.4,MID,BHA,3.0,2.7,0.83,1.20,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p592031.png
Mitoma,6.6,MID,BHA,4.0,2.7,2.01,1.34,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p451340.png
Moder,4.4,MID,BHA,0.0,0.0,0.00,0.00,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p243505.png
Peupion,4.5,MID,BHA,0.0,0.0,0.00,0.00,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p491598.png
Steele,4.4,GK,BHA,4.5,0.0,0.00,0.00,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p49262.png
Van Hecke,4.5,DEF,BHA,3.3,0.3,0.05,0.13,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p469142.png
Veltman,4.5,DEF,BHA,4.0,2.7,0.05,0.66,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p111478.png
Verbruggen,4.5,GK,BHA,3.3,3.3,0.00,0.00,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p489639.png
Webster,4.4,DEF,BHA,0.3,0.0,0.00,0.03,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p110735.png
Welbeck,5.9,FWD,BHA,6.2,6.3,3.92,0.30,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p50175.png
Wieffer,4.8,MID,BHA,2.0,1.0,0.14,0.04,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p467779.png
Gruda,5.4,MID,BHA,1.0,0.3,0.00,0.00,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p513433.png
Ayari,5.0,MID,BHA,1.7,1.0,0.54,0.45,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p509416.png
Georginio,5.5,MID,BHA,4.4,8.0,1.24,0.69,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p463067.png
F.Kadıoğlu,4.5,DEF,BHA,1.8,2.0,0.22,0.22,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p231416.png
O'Riley,5.5,MID,BHA,0.0,0.0,0.00,0.00,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p219249.png
Samuels,4.0,DEF,BHA,0.0,0.0,0.00,0.00,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p447720.png
B.Badiashile,4.3,DEF,CHE,1.0,-0.2,0.00,0.00,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p242880.png
Bergström,4.0,GK,CHE,0.0,-0.5,0.00,0.00,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p482158.png
Bettinelli,4.0,GK,CHE,0.0,-0.5,0.00,0.00,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p122074.png
Caicedo,4.9,MID,CHE,2.8,2.2,0.15,1.10,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p486672.png
Casadei,4.5,MID,CHE,0.0,-0.5,0.00,0.00,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p505187.png
Chilwell,4.7,DEF,CHE,0.0,-0.5,0.00,0.00,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p172850.png
Chukwuemeka,4.8,MID,CHE,0.0,-0.5,0.00,0.00,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p478912.png
Colwill,4.6,DEF,CHE,2.4,0.5,0.18,0.50,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p460028.png
Cucurella,5.0,DEF,CHE,2.1,0.0,0.00,0.64,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p179268.png
Deivid,5.0,FWD,CHE,0.0,-0.5,0.00,0.00,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p617054.png
Dewsbury-Hall,5.6,MID,CHE,1.0,-0.5,0.00,0.03,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p215413.png
Disasi,4.3,DEF,CHE,3.5,-0.5,0.00,0.00,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p220362.png
Enzo,4.9,MID,CHE,1.9,0.8,0.34,0.66,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p448047.png
Gusto,4.9,DEF,CHE,1.2,0.8,0.19,0.26,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p482609.png
James,4.9,DEF,CHE,0.0,-0.5,0.00,0.01,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p225796.png
Kellyman,4.4,MID,CHE,0.0,0.0,0.00,0.00,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p549068.png
Lavia,4.5,MID,CHE,1.3,0.2,0.00,0.19,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p514356.png
Madueke,6.5,MID,CHE,6.4,5.2,1.98,0.44,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p248857.png
Marc Guiu,4.9,FWD,CHE,1.0,-0.5,0.00,0.00,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p499309.png
Mudryk,6.2,MID,CHE,1.0,0.2,0.00,0.52,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p465920.png
N.Jackson,7.9,FWD,CHE,6.0,3.8,5.25,0.23,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p517052.png
Nkunku,6.0,MID,CHE,1.8,0.5,1.85,0.17,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p213198.png
Palmer,10.9,MID,CHE,8.6,10.5,4.45,1.96,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p244851.png
Renato Veiga,4.5,MID,CHE,1.0,-0.2,0.16,0.15,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p551230.png
Sánchez,4.7,GK,CHE,4.8,2.2,0.00,0.01,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p215059.png
Tosin,4.4,DEF,CHE,1.8,-0.5,0.00,0.00,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p109646.png
W.Fofana,4.5,DEF,CHE,1.6,0.0,0.04,0.10,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p444463.png
Sancho,6.4,MID,CHE,3.8,3.5,0.08,0.86,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p209243.png
Neto,6.2,MID,CHE,1.1,0.2,0.13,0.50,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p247632.png
Jørgensen,4.3,GK,CHE,0.0,-0.5,0.00,0.00,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p508479.png
João Félix,6.1,MID,CHE,1.8,-0.2,0.47,0.11,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p428399.png
Nketiah,5.9,FWD,CRY,1.8,1.7,0.90,0.32,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p205533.png
Chalobah,4.4,DEF,CRY,2.0,1.3,0.30,0.06,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p180736.png
C.Doucouré,4.9,MID,CRY,2.0,0.0,0.04,0.01,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p438464.png
C.Richards,4.4,DEF,CRY,2.2,0.0,0.12,0.01,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p427623.png
Chadi Riad,4.3,DEF,CRY,1.0,0.0,0.00,0.02,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p515621.png
Clyne,4.4,DEF,CRY,3.0,2.0,0.01,0.02,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p57328.png
Eze,6.7,MID,CRY,3.1,2.0,2.76,1.12,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p232413.png
Guéhi,4.4,DEF,CRY,2.9,4.3,0.18,0.22,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p209036.png
Henderson,4.5,GK,CRY,3.0,2.3,0.01,0.00,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p172649.png
Holding,4.3,DEF,CRY,0.0,0.0,0.00,0.00,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p156074.png
Hughes,4.9,MID,CRY,0.9,1.0,0.13,0.15,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p108413.png
Kamada,5.2,MID,CRY,1.5,1.3,0.41,0.25,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p209400.png
Lerma,4.8,MID,CRY,1.3,1.3,0.11,0.39,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p152551.png
Mateta,7.3,FWD,CRY,2.9,1.3,1.82,0.33,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p231747.png
M.França,4.4,MID,CRY,0.0,0.0,0.00,0.00,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p536694.png
Matthews,4.0,GK,CRY,0.0,0.0,0.00,0.00,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p169593.png
Mitchell,4.9,DEF,CRY,2.2,1.3,0.24,0.86,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p244723.png
Muñoz,4.8,DEF,CRY,2.0,0.8,0.33,0.48,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p247348.png
Schlupp,4.8,MID,CRY,1.0,0.7,0.09,0.07,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p86417.png
Ward,4.3,DEF,CRY,0.0,0.0,0.00,0.00,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p55494.png
Wharton,4.8,MID,CRY,1.7,1.0,0.16,0.58,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p496221.png
Turner,4.0,GK,CRY,0.0,0.0,0.00,0.00,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p224068.png
I.Sarr,5.8,MID,CRY,1.4,1.0,0.57,0.74,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p232185.png
Umeh-Chibueze,4.5,MID,CRY,0.0,0.0,0.00,0.00,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p574398.png
Devenny,4.5,MID,CRY,0.0,0.0,0.00,0.00,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p489706.png
Agbinone,4.5,MID,CRY,1.0,0.3,0.02,0.01,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p579075.png
Rodney,4.5,MID,CRY,0.0,0.0,0.00,0.00,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p530318.png
Lacroix,4.5,DEF,CRY,2.8,2.7,0.18,0.39,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p437499.png
